Customer ID,Customer Name,Region,Segment
CUST1000,Ishita Patel,West,Home Office
CUST1001,Vivaan Verma,North,Corporate
CUST1002,Vihaan Sharma,South,Consumer
CUST1003,Aditya Joshi,West,Consumer
CUST1004,Rahul Verma,West,Consumer
CUST1005,Vihaan Verma,South,Home Office
CUST1006,Vihaan Sharma,West,Consumer
CUST1007,Rahul Sharma,South,Corporate
CUST1008,Diya Patel,North,Home Office
CUST1009,Sneha Yadav,South,Consumer
CUST1010,Vihaan Patlan,South,Corporate
CUST1011,Anjali Yadav,North,Home Office
CUST1012,Vivaan Patlan,South,Corporate
CUST1013,Saanvi Joshi,East,Corporate
CUST1014,Vihaan Kumar,East,Corporate
CUST1015,Rahul Patel,South,Consumer
CUST1016,Vihaan Gupta,West,Corporate
CUST1017,Meera Gupta,North,Consumer
CUST1018,Rohan Joshi,South,Corporate
CUST1019,Priya Kumar,West,Consumer
CUST1020,Aditya Yadav,East,Corporate
CUST1021,Arjun Patlan,West,Home Office
CUST1022,Meera Verma,North,Corporate
CUST1023,Aisha Verma,North,Home Office
CUST1024,Sneha Patlan,West,Corporate
CUST1025,Kabir Mehta,North,Corporate
CUST1026,Arjun Patel,North,Corporate
CUST1027,Vivaan Singh,East,Consumer
CUST1028,Rahul Joshi,West,Corporate
CUST1029,Aditya Patel,West,Corporate
CUST1030,Saanvi Gupta,South,Corporate
CUST1031,Saanvi Gupta,West,Corporate
CUST1032,Kabir Singh,South,Consumer
CUST1033,Riya Patel,South,Home Office
CUST1034,Rahul Sharma,West,Home Office
CUST1035,Riya Gupta,East,Consumer
CUST1036,Priya Joshi,East,Home Office
CUST1037,Vihaan Mehta,South,Home Office
CUST1038,Rohan Patlan,North,Corporate
CUST1039,Saanvi Joshi,West,Corporate
CUST1040,Kabir Verma,West,Home Office
CUST1041,Kabir Sharma,South,Consumer
CUST1042,Neha Kumar,South,Consumer
CUST1043,Ishita Patlan,North,Consumer
CUST1044,Aarav Patlan,South,Home Office
CUST1045,Anjali Mehta,North,Consumer
CUST1046,Neha Patlan,West,Consumer
CUST1047,Karan Mehta,East,Corporate
CUST1048,Anjali Verma,West,Corporate
CUST1049,Aisha Kumar,East,Consumer
CUST1050,Priya Verma,East,Home Office
CUST1051,Karan Kumar,South,Home Office
CUST1052,Aarav Singh,East,Consumer
CUST1053,Saanvi Sharma,East,Home Office
CUST1054,Aditya Gupta,East,Consumer
CUST1055,Arjun Singh,East,Home Office
CUST1056,Rahul Patlan,South,Consumer
CUST1057,Kabir Singh,South,Home Office
CUST1058,Aisha Mehta,North,Consumer
CUST1059,Karan Kumar,East,Consumer
CUST1060,Ananya Mehta,West,Home Office
CUST1061,Arjun Mehta,North,Consumer
CUST1062,Anjali Singh,West,Consumer
CUST1063,Ishita Singh,West,Home Office
CUST1064,Ananya Sharma,West,Home Office
CUST1065,Arjun Verma,North,Corporate
CUST1066,Neha Kumar,South,Corporate
CUST1067,Ishita Verma,West,Corporate
CUST1068,Kabir Verma,South,Consumer
CUST1069,Priya Sharma,South,Home Office
CUST1070,Meera Patel,West,Home Office
CUST1071,Arjun Patel,South,Consumer
CUST1072,Aarav Verma,South,Corporate
CUST1073,Neha Singh,North,Corporate
CUST1074,Neha Gupta,South,Home Office
CUST1075,Ishita Gupta,West,Consumer
CUST1076,Vivaan Mehta,West,Home Office
CUST1077,Vihaan Yadav,West,Home Office
CUST1078,Priya Yadav,South,Home Office
CUST1079,Rohan Sharma,West,Consumer
CUST1080,Ananya Sharma,South,Consumer
CUST1081,Priya Kumar,North,Home Office
CUST1082,Vivaan Mehta,West,Consumer
CUST1083,Saanvi Sharma,South,Consumer
CUST1084,Karan Sharma,North,Home Office
CUST1085,Meera Yadav,North,Consumer
CUST1086,Meera Mehta,South,Home Office
CUST1087,Karan Kumar,West,Home Office
CUST1088,Rahul Yadav,East,Home Office
CUST1089,Neha Kumar,South,Corporate
CUST1090,Anjali Joshi,West,Corporate
CUST1091,Aditya Singh,West,Consumer
CUST1092,Neha Gupta,North,Consumer
CUST1093,Arjun Patel,East,Consumer
CUST1094,Meera Singh,North,Corporate
CUST1095,Aisha Patel,South,Consumer
CUST1096,Diya Yadav,West,Corporate
CUST1097,Diya Singh,East,Corporate
CUST1098,Aditya Mehta,North,Corporate
CUST1099,Saanvi Kumar,West,Home Office
